A_gate_identity,A_gate_kappa,C_lock_identity,C_lock_kappa,C_lock_max_worst,C_lock_worst,P_norm_identity,P_norm_kappa,QP_balance_identity,QP_balance_kappa,QP_balance_min,Q_norm_identity,Q_norm_kappa,beta2_opening_identity,beta2_opening_kappa,candidate_id_identity,candidate_id_kappa,candidate_pair_key,cascade_index,comm_abs_area_identity,comm_abs_area_kappa,decision_used_delta_beta,delta_beta2_identity,delta_beta2_kappa,directed_imbalance_avg,directed_imbalance_identity,directed_imbalance_kappa,event_t,kappa_pareto_score,move_class_identity,move_class_kappa,passes_A_gate_both,passes_C_lock_worst,passes_QP_proxy,passes_all_including_beta2_audit,passes_all_kappa_pareto_gate,passes_beta2_audit_both,passes_kappa_signed_flip,scan_id,selected_A_identity,selected_A_kappa,signed_amplitude_avg,signed_amplitude_balance_zero_if_equal,signed_amplitude_min,signed_birth_identity,signed_birth_kappa,signed_flip_abs,signed_flip_score_zero_if_perfect,transport_cosine_identity,transport_cosine_kappa,transverse_complementarity_avg,transverse_complementarity_identity,transverse_complementarity_kappa,variant,beta_delta_min,beta_bool,C_good_score,flip_good_score,transport_cosine_avg,comm_abs_area_avg,tradeoff_front_score
True,True,0.1283939437444549,0.0742627088097142,0.1283939437444899,0.1283939437444549,1.4680198516036669,0.8803813131058781,0.9486082633140628,0.8472330672529105,0.8472330672529105,1.5475511951308925,1.0391252975519487,True,True,104,102,handle_candidate|2 7 8|3 4 5,1,0.290461421597953,0.0877414675979063,False,1,1,0.1262870014427758,0.1262870014427758,0.1262870014427758,8,4.584235730759818e-13,handle_candidate,handle_candidate,True,True,True,False,False,True,False,2,False,False,0.414358164274036,0.0049421474881133,0.4123103451132873,-0.4164059834347846,-0.4123103451132873,0.9999999999987932,-0.9999999999987932,0.2021614487232172,0.6555934055511251,0.2655857245171599,0.2655857245171599,0.2655857245171599,no_backreaction,1,1,0.8716060562555101,1.2068124277675452e-12,0.42887742713717114,0.18910144459792966,2.7188391235096274
True,True,0.064639535038062,0.0667835205282286,0.0667835205282561,0.0667835205282286,1.2904847134479098,1.802727104582733,0.9160581128635764,0.7107135553465233,0.7107135553465233,1.1821589912813015,1.2812225898182488,True,True,230,226,handle_candidate|2 4 7|8 10 11,1,0.186510001057012,0.3931624431074721,False,1,1,0.2633215407828071,0.2633215407828071,0.2633215407828071,11,4.5139345658654395e-13,handle_candidate,handle_candidate,True,True,True,False,False,True,False,5,False,False,0.1921535261162244,0.4317202039440926,0.1091969666325356,0.1091969666325356,0.2751100855999132,0.999999999997398,0.999999999997398,-0.3379113358488517,-0.7149853477295469,0.2585456108896233,0.2585456108896233,0.2585456108896233,no_backreaction,1,1,0.9332164794717439,2.6020297028139794e-12,-0.5264483417891993,0.289836222082242,2.643930034820869
True,True,0.064639535038062,0.0667835205282286,0.0667835205282561,0.0667835205282286,1.2904847134479098,1.802727104582733,0.9160581128635764,0.7107135553465233,0.7107135553465233,1.1821589912813015,1.2812225898182488,True,True,260,254,handle_candidate|2 4 7|8 10 11,1,0.186510001057012,0.3931624431074721,False,1,1,0.2633215407828071,0.2633215407828071,0.2633215407828071,12,4.5139345658654395e-13,handle_candidate,handle_candidate,True,True,True,False,False,True,False,6,False,False,0.1921535261162244,0.4317202039440926,0.1091969666325356,0.1091969666325356,0.2751100855999132,0.999999999997398,0.999999999997398,-0.3379113358488517,-0.7149853477295469,0.2585456108896233,0.2585456108896233,0.2585456108896233,no_backreaction,1,1,0.9332164794717439,2.6020297028139794e-12,-0.5264483417891993,0.289836222082242,2.643930034820869
True,True,0.0243778776999656,0.2369157464539483,0.2369157464539606,0.2369157464539483,1.7049365702809918,0.7419541440761458,0.8811890777833541,0.645598510411256,0.645598510411256,1.502371484045903,1.149250086718546,True,True,96,104,handle_candidate|1 4 6|3 7 8,1,0.8730559870162757,0.1962645405338459,False,1,1,0.1088897272111571,0.1088897272111571,0.1088897272111571,8,0.0813658622509604,handle_candidate,handle_candidate,True,False,True,False,False,True,True,2,False,False,0.2811924109008121,0.1393601813165836,0.2420053855327579,-0.3203794362688663,0.2420053855327579,0.1393601813165836,-0.1393601813165836,-0.1829004467773764,0.7003564516815308,0.2337562640381679,0.2337562640381679,0.2337562640381679,no_backreaction,1,1,0.7630842535460394,0.8606398186834164,0.2587280024520772,0.5346602637750608,3.269322582640712
True,True,0.0243778776999656,0.2369157464539483,0.2369157464539606,0.2369157464539483,1.7049365702809918,0.7419541440761458,0.8811890777833541,0.645598510411256,0.645598510411256,1.502371484045903,1.149250086718546,True,True,132,144,handle_candidate|1 4 6|3 7 8,1,0.8730559870162757,0.1962645405338459,False,1,1,0.1088897272111571,0.1088897272111571,0.1088897272111571,9,0.0813658622509604,handle_candidate,handle_candidate,True,False,True,False,False,True,True,3,False,False,0.2811924109008121,0.1393601813165836,0.2420053855327579,-0.3203794362688663,0.2420053855327579,0.1393601813165836,-0.1393601813165836,-0.1829004467773764,0.7003564516815308,0.2337562640381679,0.2337562640381679,0.2337562640381679,no_backreaction,1,1,0.7630842535460394,0.8606398186834164,0.2587280024520772,0.5346602637750608,3.269322582640712
True,True,0.1534311885844196,0.3299763419289656,0.3299763419289966,0.3299763419289656,0.5790534344548296,0.919958979705544,0.7036460805615846,0.9304791580001898,0.7036460805615846,0.8229327931337009,0.9886938055461808,True,True,292,278,handle_candidate|2 4 7|3 10 11,1,0.0722476354074539,0.3241510513094998,False,1,1,0.1262870014427758,0.1262870014427758,0.1262870014427758,11,0.1021047567117032,handle_candidate,handle_candidate,True,False,True,False,False,True,True,5,False,False,0.3339136004931047,0.1624532180996045,0.2796682615256929,0.3881589394605165,-0.2796682615256929,0.1624532180996045,0.1624532180996045,0.7637414713370746,0.1006664155093291,0.3755712571095102,0.3755712571095102,0.3755712571095102,no_backreaction,1,1,0.6700236580710034,0.8375467819003954,0.43220394342320184,0.19819934335847683,3.2112165205329837
True,True,0.3967463041781618,0.4022404875013721,0.4022404875014053,0.4022404875013721,1.2347843212325094,1.1030838534464864,0.8462406531165431,0.5055076376877421,0.5055076376877421,1.4591408681256186,2.1821309337513286,True,True,228,204,handle_candidate|2 7 9|8 10 11,1,0.6791291044430174,0.8864405511547054,False,1,1,0.1413239512352321,0.1413239512352321,0.1413239512352321,11,0.159682914269046,handle_candidate,handle_candidate,True,False,True,False,False,True,True,5,False,False,0.4111714863934285,0.0333828426371046,0.3974454133662755,-0.4248975594205814,0.3974454133662755,0.0333828426371046,-0.0333828426371046,0.217180226591463,0.7070209358300734,0.7002365910822657,0.7002365910822657,0.7002365910822657,no_backreaction,1,1,0.5977595124985947,0.9666171573628954,0.4621005812107682,0.7827848277988614,3.0698843075492324
True,True,0.3967463041781618,0.4022404875013721,0.4022404875014053,0.4022404875013721,1.2347843212325094,1.1030838534464864,0.8462406531165431,0.5055076376877421,0.5055076376877421,1.4591408681256186,2.1821309337513286,True,True,256,234,handle_candidate|2 7 9|8 10 11,1,0.6791291044430174,0.8864405511547054,False,1,1,0.1413239512352321,0.1413239512352321,0.1413239512352321,12,0.159682914269046,handle_candidate,handle_candidate,True,False,True,False,False,True,True,6,False,False,0.4111714863934285,0.0333828426371046,0.3974454133662755,-0.4248975594205814,0.3974454133662755,0.0333828426371046,-0.0333828426371046,0.217180226591463,0.7070209358300734,0.7002365910822657,0.7002365910822657,0.7002365910822657,no_backreaction,1,1,0.5977595124985947,0.9666171573628954,0.4621005812107682,0.7827848277988614,3.0698843075492324
True,True,0.1146049312986147,0.4936532449871195,0.4936532449871389,0.4936532449871195,0.9225223981403938,1.030216510455725,0.961880362117802,0.5997280768108334,0.5997280768108334,0.9590822668510308,1.717806036251454,True,True,134,132,handle_candidate|0 1 2|3 7 10,1,0.1895448844339785,0.7597549446522033,False,1,1,0.6814057135341399,0.6814057135341399,0.6814057135341399,10,0.4467725202027056,handle_candidate,handle_candidate,True,False,True,False,False,True,True,4,False,False,0.6839279629163045,0.0592437189294597,0.6434095269132634,0.7244463989193457,-0.6434095269132634,0.0592437189294597,0.0592437189294597,0.0903609198428012,0.52801295198474,0.4683738995670554,0.4683738995670554,0.4683738995670554,no_backreaction,1,1,0.5063467550128611,0.9407562810705403,0.30918693591377056,0.4746499145430909,3.046831112894235
True,True,0.1146049312986147,0.4936532449871195,0.4936532449871389,0.4936532449871195,0.9225223981403938,1.030216510455725,0.961880362117802,0.5997280768108334,0.5997280768108334,0.9590822668510308,1.717806036251454,True,True,172,170,handle_candidate|0 1 2|3 7 10,1,0.1895448844339785,0.7597549446522033,False,1,1,0.6814057135341399,0.6814057135341399,0.6814057135341399,11,0.4467725202027056,handle_candidate,handle_candidate,True,False,True,False,False,True,True,5,False,False,0.6839279629163045,0.0592437189294597,0.6434095269132634,0.7244463989193457,-0.6434095269132634,0.0592437189294597,0.0592437189294597,0.0903609198428012,0.52801295198474,0.4683738995670554,0.4683738995670554,0.4683738995670554,no_backreaction,1,1,0.5063467550128611,0.9407562810705403,0.30918693591377056,0.4746499145430909,3.046831112894235
True,True,0.1146049312986147,0.4936532449871195,0.4936532449871389,0.4936532449871195,0.9225223981403938,1.030216510455725,0.961880362117802,0.5997280768108334,0.5997280768108334,0.9590822668510308,1.717806036251454,True,True,188,186,handle_candidate|0 1 2|3 7 10,1,0.1895448844339785,0.7597549446522033,False,1,1,0.6814057135341399,0.6814057135341399,0.6814057135341399,12,0.4467725202027056,handle_candidate,handle_candidate,True,False,True,False,False,True,True,6,False,False,0.6839279629163045,0.0592437189294597,0.6434095269132634,0.7244463989193457,-0.6434095269132634,0.0592437189294597,0.0592437189294597,0.0903609198428012,0.52801295198474,0.4683738995670554,0.4683738995670554,0.4683738995670554,no_backreaction,1,1,0.5063467550128611,0.9407562810705403,0.30918693591377056,0.4746499145430909,3.046831112894235
